StudentID,Name,Age,Email,Department,GPA,GraduationYear
8774.0,Andrew Roach,23.0,vbecker@harvey.com,Chemistry,3.75,2027.0
1396.0,Jonathan Gonzalez,22.0,hollydavis@gmail.com,Physics,2.95,2027.0
6716.0,Kenneth Morrow,24.0,ganderson@wheeler-atkins.info,Physics,3.55,2029.0
8830.0,Kaitlyn Martinez,18.0,hayesdiane@gmail.com,Chemistry,2.29,2025.0
5305.0,Tiffany Wolf,23.0,qanderson@taylor.com,Mathematics,3.3,2029.0
5048.0,James Reyes,20.0,drodriguez@nguyen-cooper.info,Chemistry,2.44,2029.0
5986.0,Samantha Sellers,20.0,michelle27@hubbard-webster.com,Mathematics,3.44,2025.0
8721.0,Michael Kim,25.0,jacksonhannah@miles.com,Computer Science,3.27,2027.0
6622.0,Emily Davis,18.0,george02@hotmail.com,Physics,3.09,2030.0
3254.0,Adam Evans,20.0,bryantmargaret@hernandez.com,Physics,3.42,2026.0
8021.0,Alejandra Galloway,20.0,danielpowers@schmidt.com,Chemistry,2.33,2027.0
9477.0,Cindy Johnston,22.0,james96@webb.org,Mathematics,3.76,2025.0
9144.0,Taylor Krueger II,20.0,hleon@smith.net,Computer Science,2.02,2025.0
4854.0,Kimberly Vang,23.0,carolyn34@yahoo.com,Computer Science,3.35,2030.0
3690.0,Alex Allen,24.0,shawkaren@smith.net,Physics,3.21,2029.0
4462.0,Dawn Caldwell,24.0,kelly96@gmail.com,Computer Science,3.92,2027.0
3255.0,Connie Cline,22.0,patelmercedes@green.com,Chemistry,3.42,2024.0
5446.0,Christine Smith,21.0,nicholasmejia@hotmail.com,Computer Science,3.43,2027.0
8125.0,Dana Burke,23.0,davismichael@yahoo.com,Physics,2.05,2025.0
3052.0,Suzanne Lopez,18.0,thomasbennett@gmail.com,Computer Science,2.33,2025.0
2602.0,Meagan Thompson,23.0,robert13@gmail.com,Physics,3.68,2028.0
1866.0,Erica Welch,25.0,hernandezbrent@delgado-terry.com,Mathematics,3.84,2028.0
4908.0,Debra Reilly,21.0,amy78@jackson.com,Chemistry,3.82,2027.0
6711.0,Rachel Hill,22.0,elizabeth41@hill-johnson.com,Computer Science,2.99,2026.0
1165.0,Lauren Hill,22.0,timothy00@lopez.com,Biology,2.49,2024.0
7657.0,Andrea Castro,19.0,valvarez@hotmail.com,Mathematics,3.16,2024.0
4776.0,Sarah Cruz,24.0,melissa92@hicks.com,Physics,3.56,2026.0
5711.0,Teresa Patrick PhD,25.0,hbrooks@nelson-bennett.info,Physics,3.58,2030.0
8511.0,Brittany Thompson,19.0,chavezallison@yahoo.com,Chemistry,2.82,2024.0
4009.0,Sean Wells,21.0,barreracourtney@nguyen.com,Physics,2.98,2029.0
7998.0,Robert Simmons,24.0,daniel00@gmail.com,Chemistry,3.21,2030.0
5676.0,William Holt,22.0,warrensmith@yahoo.com,Chemistry,2.15,2030.0
8134.0,Brandon Garcia,19.0,brandon58@cummings-johnson.biz,Computer Science,2.73,2030.0
5119.0,Alexander Jones,25.0,emily28@hotmail.com,Physics,2.92,2024.0
7304.0,William Anderson,25.0,jacob29@gmail.com,Mathematics,3.51,2024.0
3663.0,Shawna Glover,19.0,alison62@barrett.com,Biology,2.75,2028.0
6423.0,Susan Galvan,22.0,theresa04@gmail.com,Chemistry,3.26,2028.0
5155.0,Jason King,24.0,oliviawalls@hotmail.com,Chemistry,3.74,2024.0
1066.0,Alexander Simmons,19.0,jrodriguez@cox.info,Biology,3.26,2028.0
5773.0,James Moore,24.0,daniel72@long.com,Physics,2.37,2024.0
8417.0,Frank Garza,19.0,jennifer82@cruz.com,Mathematics,2.67,2027.0
4235.0,Cynthia Parker DVM,22.0,jasminelewis@washington.com,Mathematics,2.02,2028.0
7002.0,Robert Smith,18.0,amanda74@gmail.com,Chemistry,2.7,2028.0
5998.0,Marie Valdez,18.0,xwarner@nelson.com,Computer Science,3.5,2030.0
9661.0,Patty Duke,18.0,sparksanna@gmail.com,Chemistry,3.6,2027.0
5144.0,Teresa Lucas,20.0,epatel@edwards-smith.info,Biology,3.47,2029.0
3719.0,Melanie Lowe,25.0,nicolepruitt@bell-gibson.org,Computer Science,3.05,2030.0
9310.0,Isaiah Morales,25.0,lutzjason@neal.biz,Physics,3.06,2025.0
9271.0,Connor Fry,19.0,masseytom@gmail.com,Chemistry,3.94,2030.0
4603.0,Autumn Nguyen,22.0,john53@hotmail.com,Mathematics,2.13,2030.0
5001.0,Jasmin Pena,23.0,ajackson@hotmail.com,Chemistry,3.64,2025.0
5618.0,Mrs. Carol Williams MD,22.0,janice01@yahoo.com,Physics,3.56,2027.0
3205.0,Andrew Lutz,20.0,patrick16@yahoo.com,Chemistry,3.16,2029.0
8431.0,Julie Martin,25.0,angelawilliams@gmail.com,Chemistry,3.56,2030.0
4604.0,Lisa Brown,19.0,annette64@gmail.com,Physics,2.81,2025.0
7287.0,Holly King,23.0,williamsjack@randolph.com,Chemistry,2.94,2024.0
3481.0,Ricky Sanders,19.0,buckleyandrew@gmail.com,Computer Science,3.8,2027.0
3068.0,Gary Taylor,21.0,veronicarogers@yahoo.com,Mathematics,2.62,2030.0
4514.0,Arthur Thornton,25.0,kirstenowen@yahoo.com,Biology,2.1,2024.0
2499.0,Eric Leonard,23.0,theresarosales@gmail.com,Biology,2.39,2027.0
5212.0,William Smith,23.0,daniel93@lee-morris.com,Mathematics,3.29,2028.0
5550.0,Daniel Daniel,22.0,christianbrown@yahoo.com,Physics,3.51,2027.0
8265.0,Joel Nicholson,24.0,michaelpratt@murray.net,Chemistry,2.79,2027.0
