StudentID,Name,Age,Email,Department,GPA,GraduationYear
8774.0,Andrew Roach,23,vbecker@harvey.com,Chemistry,3.75,2027
1396.0,Jonathan Gonzalez,22,hollydavis@gmail.com,Physics,2.95,2027
6716.0,Kenneth Morrow,24,ganderson@wheeler-atkins.info,Physics,3.55,2029
8830.0,Kaitlyn Martinez,18,hayesdiane@gmail.com,Chemistry,2.29,2025
5305.0,Tiffany Wolf,23,qanderson@taylor.com,Mathematics,3.3,2029
5048.0,James Reyes,20,drodriguez@nguyen-cooper.info,Chemistry,2.44,2029
5986.0,Samantha Sellers,20,michelle27@hubbard-webster.com,Mathematics,3.44,2025
8721.0,Michael Kim,25,jacksonhannah@miles.com,Computer Science,3.27,2027
6622.0,Emily Davis,18,george02@hotmail.com,Physics,3.09,2030
3254.0,Adam Evans,20,bryantmargaret@hernandez.com,Physics,3.42,2026
8021.0,Alejandra Galloway,20,danielpowers@schmidt.com,Chemistry,2.33,2027
9477.0,Cindy Johnston,22,james96@webb.org,Mathematics,3.76,2025
9144.0,Taylor Krueger Ii,20,hleon@smith.net,Computer Science,2.02,2025
4854.0,Kimberly Vang,23,carolyn34@yahoo.com,Computer Science,3.35,2030
3690.0,Alex Allen,24,shawkaren@smith.net,Physics,3.21,2029
4462.0,Dawn Caldwell,24,kelly96@gmail.com,Computer Science,3.92,2027
3255.0,Connie Cline,22,patelmercedes@green.com,Chemistry,3.42,2024
5446.0,Christine Smith,21,nicholasmejia@hotmail.com,Computer Science,3.43,2027
8125.0,Dana Burke,23,davismichael@yahoo.com,Physics,2.05,2025
3052.0,Suzanne Lopez,18,thomasbennett@gmail.com,Computer Science,2.33,2025
2602.0,Meagan Thompson,23,robert13@gmail.com,Physics,3.68,2028
1866.0,Erica Welch,25,hernandezbrent@delgado-terry.com,Mathematics,3.84,2028
4908.0,Debra Reilly,21,amy78@jackson.com,Chemistry,3.82,2027
6711.0,Rachel Hill,22,elizabeth41@hill-johnson.com,Computer Science,2.99,2026
1165.0,Lauren Hill,22,timothy00@lopez.com,Biology,2.49,2024
7657.0,Andrea Castro,19,valvarez@hotmail.com,Mathematics,3.16,2024
4776.0,Sarah Cruz,24,melissa92@hicks.com,Physics,3.56,2026
5711.0,Teresa Patrick Phd,25,hbrooks@nelson-bennett.info,Physics,3.58,2030
8511.0,Brittany Thompson,19,chavezallison@yahoo.com,Chemistry,2.82,2024
4009.0,Sean Wells,21,barreracourtney@nguyen.com,Physics,2.98,2029
7998.0,Robert Simmons,24,daniel00@gmail.com,Chemistry,3.21,2030
5676.0,William Holt,22,warrensmith@yahoo.com,Chemistry,2.15,2030
8134.0,Brandon Garcia,19,brandon58@cummings-johnson.biz,Computer Science,2.73,2030
